Domain	Status	Genome ID	Genome Name	
Bacteria	Permanent Draft	2531839613	Staphylococcus aureus aureus 21269	
Bacteria	Permanent Draft	2534681607	Staphylococcus aureus aureus 21196	
Bacteria	Permanent Draft	2534681610	Staphylococcus aureus aureus 21195	
Bacteria	Permanent Draft	2534681628	Escherichia coli P0299917.6	
Bacteria	Permanent Draft	2534681770	Brucella sp. F23/97	
Bacteria	Permanent Draft	2534681790	Brucella canis CNGB 1172	
Bacteria	Permanent Draft	2534682108	Escherichia coli 3006	
Bacteria	Permanent Draft	2534682160	Escherichia coli STEC_94C	
Bacteria	Permanent Draft	2534682169	Escherichia coli P0305260.3	
Bacteria	Permanent Draft	2534682172	Escherichia coli P0304816.15	
Bacteria	Permanent Draft	2534682174	Escherichia coli P0304816.13	
Bacteria	Permanent Draft	2534682176	Escherichia coli P0304816.11	
Bacteria	Permanent Draft	2534682205	Lachnoclostridium clostridioforme CM201	
Bacteria	Permanent Draft	2534682237	Staphylococcus aureus aureus CIG1057	
Bacteria	Permanent Draft	2534682238	Staphylococcus aureus aureus CIG1165	
Bacteria	Permanent Draft	2534682286	Brucella abortus F3/01-300	
Bacteria	Permanent Draft	2534682288	Staphylococcus aureus aureus 21236	
Bacteria	Permanent Draft	2537561547	Brucella sp. F8/99	
Bacteria	Permanent Draft	2537561562	Escherichia coli P0304777.2	
Bacteria	Permanent Draft	2537561685	Escherichia coli p0305293.5	
Bacteria	Permanent Draft	2537561687	Escherichia coli p0305293.3	
Bacteria	Permanent Draft	2537561691	Escherichia coli P0305260.13	
Bacteria	Permanent Draft	2537561704	Staphylococcus aureus aureus IS-111	
Bacteria	Permanent Draft	2537561745	Brucella suis F7/06-5	
Bacteria	Permanent Draft	2537561759	Brucella suis F7/06-1	
Bacteria	Permanent Draft	2537561801	Ralstonia solanacearum K60	
Bacteria	Permanent Draft	2537561823	Escherichia coli P0301867.4	
Bacteria	Permanent Draft	2537561826	Escherichia coli P0301867.5	
Bacteria	Permanent Draft	2537561828	Escherichia coli P0301867.8	
Bacteria	Permanent Draft	2537561876	Klebsiella pneumoniae WGLW2	
Bacteria	Permanent Draft	2537561919	Clostridium perfringens WAL-14572	
Bacteria	Permanent Draft	2537561937	Escherichia coli 199900.1	
Bacteria	Permanent Draft	2537561946	Escherichia coli O157:H39 TW07793	
Bacteria	Permanent Draft	2537561959	Escherichia coli KTE153	
Bacteria	Permanent Draft	2537561978	Escherichia coli H252	
Bacteria	Permanent Draft	2537562015	Escherichia coli BCE007_MS-11	
Bacteria	Permanent Draft	2537562016	Escherichia coli 178900	
Bacteria	Permanent Draft	2537562019	Escherichia coli 179550	
Bacteria	Permanent Draft	2537562081	Brucella melitensis F9/05	
Bacteria	Permanent Draft	2537562116	Vibrio tubiashii NCIMB 1337	
Bacteria	Permanent Draft	2537562146	Staphylococcus aureus aureus 21232	
Bacteria	Permanent Draft	2537562192	Escherichia coli O91:H- 99.0741	
Bacteria	Finished	2540341110	Listeria monocytogenes SLCC5850	
Bacteria	Permanent Draft	2541047050	Klebsiella pneumoniae UHKPC40	
Bacteria	Permanent Draft	2541047053	Klebsiella pneumoniae DMC0526	
Bacteria	Permanent Draft	2541047056	Klebsiella pneumoniae UHKPC45	
Bacteria	Permanent Draft	2541047061	Klebsiella pneumoniae UHKPC27	
Bacteria	Permanent Draft	2541047062	Klebsiella pneumoniae UHKPC81	
Bacteria	Permanent Draft	2541047069	Klebsiella pneumoniae VAKPC254	
Bacteria	Permanent Draft	2541047072	Klebsiella pneumoniae KP-11	
Bacteria	Permanent Draft	2541047595	Escherichia coli O10:K5(L):H4, ATCC 23506	
Bacteria	Permanent Draft	2541047694	Escherichia coli HVH 20 (4-5865042)	
Bacteria	Permanent Draft	2541047700	Escherichia coli HVH 27 (4-7449267)	
Bacteria	Permanent Draft	2541047709	Escherichia coli HVH 40 (4-1219782)	
Bacteria	Permanent Draft	2541047729	Escherichia coli HVH 73 (4-2393174)	
Bacteria	Permanent Draft	2541047731	Escherichia coli HVH 76 (4-2538717)	
Bacteria	Permanent Draft	2541047735	Escherichia coli HVH 80 (4-2428830)	
Bacteria	Permanent Draft	2541047745	Escherichia coli HVH 100 (4-2850729)	
Bacteria	Permanent Draft	2541047751	Escherichia coli HVH 109 (4-6977162)	
Bacteria	Permanent Draft	2541047786	Escherichia coli HVH 149 (4-4451880)	
